Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,2371.540039,2376.280029,2364.330078,2371.699951,2371.699951,0
2021-02-10,2373.139893,2384.659912,2355.179932,2370.669922,2370.669922,0
2021-02-11,2370.879883,2381.820068,2359.229980,2375.949951,2375.949951,0
2021-02-12,2374.620117,2388.409912,2368.879883,2387.370117,2387.370117,0
2021-02-16,2387.570068,2397.419922,2377.770020,2383.719971,2383.719971,0
2021-02-17,2383.479980,2383.479980,2360.580078,2379.560059,2379.560059,0
2021-02-18,2378.820068,2378.820068,2348.850098,2366.090088,2366.090088,0
2021-02-19,2366.399902,2382.080078,2366.399902,2369.139893,2369.139893,0
2021-02-22,2368.389893,2368.389893,2346.850098,2347.060059,2347.060059,0
2021-02-23,2346.560059,2355.290039,2298.110107,2346.840088,2346.840088,0
2021-02-24,2346.370117,2375.449951,2333.840088,2373.830078,2373.830078,0
2021-02-25,2373.709961,2374.250000,2302.739990,2311.179932,2311.179932,0
2021-02-26,2311.649902,2331.790039,2286.510010,2303.219971,2303.219971,0
2021-03-01,2305.909912,2367.909912,2305.909912,2360.909912,2360.909912,0
2021-03-02,2360.939941,2363.629883,2337.770020,2338.260010,2338.260010,0
2021-03-03,2338.139893,2341.139893,2304.459961,2304.689941,2304.689941,0
2021-03-04,2304.689941,2315.280029,2239.590088,2268.020020,2268.020020,0
